coverage_id,name_suffix,is_test_named,status,grid_axes,grid_extents,band_count,bytes_per_cell,tiling_source,tiling_scheme,declared_tiling,tile_configuration,tile_extents,cells_per_tile,declared_tile_size_bytes,computed_bytes_per_tile,actual_avg_bytes_per_tile,tile_no,total_size_bytes,real_data_bytes,storage_overhead_factor,per_axis_divisibility,blocks_per_axis,axes_with_padding,point_query_tiles,point_query_bytes_read,point_query_amplification,map_query_tiles,map_query_bytes_read,map_query_amplification,suspected_axis_mismatch,mismatch_confidence,mismatch_evidence,suggested_reorder,declared_vs_actual,tiles_sampled,distinct_tile_shapes,partition_homogeneous,modal_tile_shape,observed_block_starts,axes_split_into_blocks,collection_used,collection_resolution,other_collections_found,wcps_domain,wcps_cell_type,wcps_null_values,wcps_vs_describe,dbinfo_array_matches,sdom,base_type,recipe_path,raw_file,note
air_freezing_index_Fdays,none,no,ok,model scenario year X Y,"10,3,150,224,317",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:*, 0:*, 0:*, 0:*] tile size 4194304","[0:*,0:*,0:*,0:*,0:*]","10,3,150,317,224",319536000,4194304,1278144000,3838270.2702702703,333,1278144000,1278144000,1.0,"ok,ok,ok,PAD,PAD","1,1,1,1,2",2,1,1278144000,71008.0,2,2556288000,9000.0,no,,,,n/a (wildcards derived),,,,,,,air_freezing_index_Fdays_2024_12_02_09_49_46_1264,petascopedb pointer,,"[0:9,0:2,0:149,0:223,0:316]",long,-9999.000000,match,yes,"[0:9,0:2,0:149,0:223,0:316]","marray <long,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",arctic_eds/degree_days/air_freezing_index_Fdays/ingest.json,,sdom disagrees with DescribeCoverage extent; collection name differs from coverage id
air_thawing_index_Fdays,none,no,ok,model scenario year X Y,"10,3,150,224,317",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:*, 0:*, 0:*, 0:*] tile size 4194304","[0:*,0:*,0:*,0:*,0:*]","10,3,150,317,224",319536000,4194304,1278144000,3838270.2702702703,333,1278144000,1278144000,1.0,"ok,ok,ok,PAD,PAD","1,1,1,1,2",2,1,1278144000,71008.0,2,2556288000,9000.0,no,,,,n/a (wildcards derived),,,,,,,air_thawing_index_Fdays,petascopedb pointer,,"[0:9,0:2,0:149,0:223,0:316]",long,-9999.000000,match,yes,"[0:9,0:2,0:149,0:223,0:316]","marray <long,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",arctic_eds/degree_days/air_thawing_index_Fdays/ingest.json,,sdom disagrees with DescribeCoverage extent
ak_hydro_segments_doy_climatology,none,no,ok,model stream_id doy era,"7,34346,366,2",3,12,dbinfo (measured),regular,"REGULAR [0:6, 0:0, 0:365, 0:1] tile size 1048576","[0:6,0:0,0:365,0:1]","7,1,366,2",5124,1048576,61488,61488.0,34346,2111866848,2111866848,1.0,"ok,ok,ok,ok","1,34346,1,1",0,,,,,,,no,,,,match,,,,,,,ak_hydro_segments_doy_climatology_2026_07_08_16_07_13_5583,petascopedb pointer,,"[0:6,0:34345,0:365,0:1]","doy_min float, doy_mean float, doy_max float",,match,yes,"[0:6,0:34345,0:365,0:1]","marray <struct { float doy_min, float doy_mean, float doy_max },[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",ardac/hydroviz/arctic/daily_clim_q_for_rasdaman.json,,collection name differs from coverage id
ak_hydro_segments_doy_climatology_no_spinup,none,no,ok,model stream_id doy era,"7,34346,366,2",3,12,dbinfo (measured),regular,,"[0:6,0:0,0:365,0:1]","7,1,366,2",5124,1048576,61488,61488.0,34346,2111866848,2111866848,1.0,"ok,ok,ok,ok","1,34346,1,1",0,,,,,,,no,,,,,,,,,,,ak_hydro_segments_doy_climatology_no_spinup,petascopedb pointer,,"[0:6,0:34345,0:365,0:1]","doy_min float, doy_mean float, doy_max float",,match,yes,"[0:6,0:34345,0:365,0:1]","marray <struct { float doy_min, float doy_mean, float doy_max },[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",,,
ak_hydro_segments_doy_wt_climatology,none,no,ok,model stream_id doy era,"7,34208,366,2",3,12,dbinfo (measured),regular,"REGULAR [0:6, 0:0, 0:365, 0:1] tile size 1048576","[0:6,0:0,0:365,0:1]","7,1,366,2",5124,1048576,61488,61488.0,34208,2103381504,2103381504,1.0,"ok,ok,ok,ok","1,34208,1,1",0,,,,,,,no,,,,match,,,,,,,ak_hydro_segments_doy_wt_climatology,petascopedb pointer,,"[0:6,0:34207,0:365,0:1]","doy_min float, doy_mean float, doy_max float",,match,yes,"[0:6,0:34207,0:365,0:1]","marray <struct { float doy_min, float doy_mean, float doy_max },[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",ardac/hydroviz/arctic/daily_clim_wt_for_rasdaman.json,,
ak_hydro_segments_mhit_stats_combined,none,no,ok,source era model stream_id,"7,3,7,34346",53,212,dbinfo (measured),regular,"REGULAR [0:6, 0:2, 0:0, 0:1] tile size 1048576","[0:6,0:2,0:0,0:1]","7,3,1,2",42,1048576,8904,8904.0,120211,1070358744,1070358744,1.0,"ok,ok,ok,ok","1,1,7,17173",0,,,,,,,no,,,,match,,,,,,,ak_hydro_segments_mhit_stats_combined,petascopedb pointer,,"[0:6,0:2,0:6,0:34345]","ma3 float, ma4 float, ma12 float, ma13 float, ma14 float, ma15 float, ma16 float, ma17 float, ma18 float, ma19 float, ma20 float, ma21 float, ma22 float, ma23 float, ma99 float, mh14 float, mh20 float, ml17 float, spr_mag float, sum_cv float, sum_mag float, dh1 float, dh2 float, dh3 float, dh4 float, dh5 float, dh15 float, dl1 float, dl2 float, dl3 float, dl4 float, dl5 float, dl16 float, lf1 float, spr_dur3 float, spr_dur7 float, sum_dur3 float, sum_dur7 float, fh1 float, fh5 float, fh6 float, fh7 float, fl1 float, fl3 float, spr_freq float, sum_freq float, ra1 float, ra3 float, ra8 float, th1 float, tl1 float, spr_ord float, sum_ord float",,DIFFERS,yes,"[0:6,0:2,0:6,0:34345]","marray <struct { float ma3, float ma4, float ma12, float ma13, float ma14, float ma15, float ma16, float ma17, float ma18, float ma19, float ma20, float ma21, float ma22, float ma23, float ma99, float mh14, float mh20, float ml17, float spr_mag, float sum_cv, float sum_mag, float dh1, float dh2, float dh3, float dh4, float dh5, float dh15, float dl1, float dl2, float dl3, float dl4, float dl5, float dl16, float lf1, float spr_dur3, float spr_dur7, float sum_dur3, float sum_dur7, float fh1, float fh5, float fh6, float fh7, float fl1, float fl3, float spr_freq, float sum_freq, float ra1, float ra3, float ra8, float th1, float tl1, float spr_ord, float sum_ord },[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",ardac/hydroviz/arctic/stats_mhit.json,,sdom disagrees with DescribeCoverage extent
ak_hydro_segments_mhit_stats_combined_blaskey,none,no,ok,source era model stream_id,"7,3,7,34346",53,212,dbinfo (measured),regular,,"[0:6,0:2,0:0,0:1]","7,3,1,2",42,1048576,8904,8904.0,120211,1070358744,1070358744,1.0,"ok,ok,ok,ok","1,1,7,17173",0,,,,,,,no,,,,,,,,,,,ak_hydro_segments_mhit_stats_combined_blaskey,petascopedb pointer,,"[0:6,0:2,0:6,0:34345]","ma3 float, ma4 float, ma12 float, ma13 float, ma14 float, ma15 float, ma16 float, ma17 float, ma18 float, ma19 float, ma20 float, ma21 float, ma22 float, ma23 float, ma99 float, mh14 float, mh20 float, ml17 float, spr_mag float, sum_cv float, sum_mag float, dh1 float, dh2 float, dh3 float, dh4 float, dh5 float, dh15 float, dl1 float, dl2 float, dl3 float, dl4 float, dl5 float, dl16 float, lf1 float, spr_dur3 float, spr_dur7 float, sum_dur3 float, sum_dur7 float, fh1 float, fh5 float, fh6 float, fh7 float, fl1 float, fl3 float, spr_freq float, sum_freq float, ra1 float, ra3 float, ra8 float, th1 float, tl1 float, spr_ord float, sum_ord float",,DIFFERS,yes,"[0:6,0:2,0:6,0:34345]","marray <struct { float ma3, float ma4, float ma12, float ma13, float ma14, float ma15, float ma16, float ma17, float ma18, float ma19, float ma20, float ma21, float ma22, float ma23, float ma99, float mh14, float mh20, float ml17, float spr_mag, float sum_cv, float sum_mag, float dh1, float dh2, float dh3, float dh4, float dh5, float dh15, float dl1, float dl2, float dl3, float dl4, float dl5, float dl16, float lf1, float spr_dur3, float spr_dur7, float sum_dur3, float sum_dur7, float fh1, float fh5, float fh6, float fh7, float fl1, float fl3, float spr_freq, float sum_freq, float ra1, float ra3, float ra8, float th1, float tl1, float spr_ord, float sum_ord },[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",,,sdom disagrees with DescribeCoverage extent
ak_hydro_segments_stats,none,no,ok,model stream_id era,"7,34346,2",12,48,dbinfo (measured),regular,,"[0:6,0:0,0:1]","7,1,2",14,1048576,672,672.0,34346,23080512,23080512,1.0,"ok,ok,ok","1,34346,1",0,,,,,,,no,,,,,,,,,,,ak_hydro_segments_stats,petascopedb pointer,,"[0:6,0:34345,0:1]","ma12 float, ma13 float, ma14 float, ma15 float, ma16 float, ma17 float, ma18 float, ma19 float, ma20 float, ma21 float, ma22 float, ma23 float",,match,yes,"[0:6,0:34345,0:1]","marray <struct { float ma12, float ma13, float ma14, float ma15, float ma16, float ma17, float ma18, float ma19, float ma20, float ma21, float ma22, float ma23 },[D0(*:*),D1(*:*),D2(*:*)]>",,,
ak_hydro_segments_stats_combined,none,no,ok,source era model stream_id,"7,3,7,34346",13,52,dbinfo (measured),regular,"REGULAR [0:6, 0:2, 0:0, 0:1] tile size 1048576","[0:6,0:2,0:0,0:1]","7,3,1,2",42,1048576,2184,2184.0,120211,262540824,262540824,1.0,"ok,ok,ok,ok","1,1,7,17173",0,,,,,,,no,,,,match,,,,,,,ak_hydro_segments_stats_combined,petascopedb pointer,,"[0:6,0:2,0:6,0:34345]","ma12 float, ma13 float, ma14 float, ma15 float, ma16 float, ma17 float, ma18 float, ma19 float, ma20 float, ma21 float, ma22 float, ma23 float, ma99 float",,DIFFERS,yes,"[0:6,0:2,0:6,0:34345]","marray <struct { float ma12, float ma13, float ma14, float ma15, float ma16, float ma17, float ma18, float ma19, float ma20, float ma21, float ma22, float ma23, float ma99 },[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",ardac/hydroviz/arctic/stats_q_for_rasdaman.json,,sdom disagrees with DescribeCoverage extent
ak_hydro_segments_wt_stats,none,no,ok,source era model stream_id,"7,3,7,34208",44,176,dbinfo (measured),regular,"REGULAR [0:6, 0:2, 0:0, 0:1] tile size 1048576","[0:6,0:2,0:0,0:1]","7,3,1,2",42,1048576,7392,7392.0,119728,885029376,885029376,1.0,"ok,ok,ok,ok","1,1,7,17104",0,,,,,,,no,,,,match,,,,,,,ak_hydro_segments_wt_stats,petascopedb pointer,,"[0:6,0:2,0:6,0:34207]","wt_days_gt13_mean float, wt_days_gt18_mean float, wt_days_gt20_mean float, wt_mean_jan float, wt_mean_feb float, wt_mean_mar float, wt_mean_apr float, wt_mean_may float, wt_mean_jun float, wt_mean_jul float, wt_mean_aug float, wt_mean_sep float, wt_mean_oct float, wt_mean_nov float, wt_mean_dec float, wt_min_jan float, wt_min_feb float, wt_min_mar float, wt_min_apr float, wt_min_may float, wt_min_jun float, wt_min_jul float, wt_min_aug float, wt_min_sep float, wt_min_oct float, wt_min_nov float, wt_min_dec float, wt_max_jan float, wt_max_feb float, wt_max_mar float, wt_max_apr float, wt_max_may float, wt_max_jun float, wt_max_jul float, wt_max_aug float, wt_max_sep float, wt_max_oct float, wt_max_nov float, wt_max_dec float, wt_ann_max_temp_mean float, wt_ann_max_temp_doy_mean float, wt_7d_max_temp_mean float, wt_7d_max_temp_doy_mean float, wt_cdd_may_sept_mean float",,DIFFERS,yes,"[0:6,0:2,0:6,0:34207]","marray <struct { float wt_days_gt13_mean, float wt_days_gt18_mean, float wt_days_gt20_mean, float wt_mean_jan, float wt_mean_feb, float wt_mean_mar, float wt_mean_apr, float wt_mean_may, float wt_mean_jun, float wt_mean_jul, float wt_mean_aug, float wt_mean_sep, float wt_mean_oct, float wt_mean_nov, float wt_mean_dec, float wt_min_jan, float wt_min_feb, float wt_min_mar, float wt_min_apr, float wt_min_may, float wt_min_jun, float wt_min_jul, float wt_min_aug, float wt_min_sep, float wt_min_oct, float wt_min_nov, float wt_min_dec, float wt_max_jan, float wt_max_feb, float wt_max_mar, float wt_max_apr, float wt_max_may, float wt_max_jun, float wt_max_jul, float wt_max_aug, float wt_max_sep, float wt_max_oct, float wt_max_nov, float wt_max_dec, float wt_ann_max_temp_mean, float wt_ann_max_temp_doy_mean, float wt_7d_max_temp_mean, float wt_7d_max_temp_doy_mean, float wt_cdd_may_sept_mean },[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",ardac/hydroviz/arctic/wt_stats_for_rasdaman.json,,sdom disagrees with DescribeCoverage extent
