collection,MDDCollId,n_objects,physical_bytes
cmip6_downscaled_tasmax_complete_crstephenson_2025_09_22_12_03_04_2874,590,1,1268025125604
ardac_chukchi_daily_slie,147,1,599728389120
ardac_chukchi_daily_slie_wcs,512,1,599728389120
big_tile_ardac_chukchi_daily_slie,486,1,599728389120
ardac_beaufort_daily_slie,182,1,491753671200
ardac_beaufort_daily_slie_wcs,526,1,491753671200
tas_2km_projected,207,1,313262259840
tas_2km_projected_wcs,1222,1,313262259840
dot_precip,187,1,305171938800
cmip6_downscaled_tasmax_complete_crstephenson,534,1,229684513600
conus_hydro_segments_doy_mmm_maurer,1149,1,138864499212
conus_hydro_segments_doy_climatology,1217,1,138862039692
conus_hydro_segments_doy_mmm_2025_12_03_09_17_13_3208,1148,1,128945606412
cp_gipl_wms,1277,1,115109064000
cp_test_gipl,1439,1,115109064000
cp_test_gipl_wcs,1247,1,115109064000
crrel_gipl_outputs,369,1,115109064000
crrel_gipl_outputs_nc,1440,1,115109064000
crrel_gipl_outputs_nc_regular_2_test,1542,1,115099928400
crrel_gipl_outputs_nc_regular_1_test,1541,1,114958364800
cmip6_monthly_cf_wcs,1223,1,113096632320
cmip6_monthly_cf_wms,1143,1,113096632320
piak_collab,1537,1,112679424000
cmip6_fwi,565,1,89462390600
conus_hydro_segments_doy_mmm_maurer_projected,1155,1,77367363852
conus_hydro_segments_doy_mmm_maurer_projected_test,1157,1,77367363852
tas_2km_historical,201,1,63202034880
tas_2km_historical_wcs,1221,1,63202034880
cmip6_bui,1259,1,52018435200
cmip6_bui_2026_05_01_10_44_58_2744,1480,1,52018435200
cmip6_dc,1481,1,52018435200
cmip6_dmc,1482,1,52018435200
cmip6_ffmc,1263,1,52018435200
cmip6_ffmc_2026_05_01_10_06_40_3566,1478,1,52018435200
cmip6_fwi_2026_05_01_09_29_49_8758,1477,1,52018435200
cmip6_isi,1479,1,52018435200
conus_hydro_segments_doy_climatology_dynamic_projected,1211,1,41658611916
conus_hydro_segments_doy_climatology_static_projected,1213,1,41658611916
jan_min_max_mean_temp,34,1,40452606900
july_min_max_mean_temp,36,1,40452606900
conus_hydro_segments_doy_mmm_maurer_historical,1153,1,34716124812
conus_hydro_segments_doy_mmm_maurer_historical_test,1156,1,34716124812
cmip6_downscaled_pr_7ModelAvg_ssp126_wcs_v2,1279,1,25586616800
cmip6_downscaled_pr_7ModelAvg_ssp245_wcs_v2,1280,1,25586616800
cmip6_downscaled_pr_7ModelAvg_ssp370_wcs_v2,1281,1,25586616800
cmip6_downscaled_pr_7ModelAvg_ssp585_wcs_v2,1282,1,25586616800
cmip6_downscaled_pr_CESM2_ssp126_wcs_v2,1284,1,25586616800
cmip6_downscaled_pr_CESM2_ssp245_wcs_v2,1285,1,25586616800
cmip6_downscaled_pr_CESM2_ssp370_wcs_v2,1286,1,25586616800
cmip6_downscaled_pr_CESM2_ssp585_wcs_v2,1287,1,25586616800
cmip6_downscaled_pr_CNRM_CM6_1_HR_ssp126_wcs_v2,1417,1,25586616800
cmip6_downscaled_pr_CNRM_CM6_1_HR_ssp585_wcs_v2,1289,1,25586616800
cmip6_downscaled_pr_E3SM_2_0_ssp370_wcs_v2,1291,1,25586616800
cmip6_downscaled_pr_EC_Earth3_Veg_ssp126_wcs_v2,1293,1,25586616800
cmip6_downscaled_pr_EC_Earth3_Veg_ssp370_wcs_v2,1294,1,25586616800
cmip6_downscaled_pr_EC_Earth3_Veg_ssp585_wcs_v2,1295,1,25586616800
cmip6_downscaled_pr_GFDL_ESM4_ssp126_wcs_v2,1297,1,25586616800
cmip6_downscaled_pr_GFDL_ESM4_ssp245_wcs_v2,1298,1,25586616800
cmip6_downscaled_pr_GFDL_ESM4_ssp370_wcs_v2,1299,1,25586616800
cmip6_downscaled_pr_GFDL_ESM4_ssp585_wcs_v2,1300,1,25586616800
cmip6_downscaled_pr_HadGEM3_GC31_LL_ssp126_wcs_v2,1302,1,25586616800
cmip6_downscaled_pr_HadGEM3_GC31_LL_ssp245_wcs_v2,1303,1,25586616800
cmip6_downscaled_pr_HadGEM3_GC31_LL_ssp585_wcs_v2,1304,1,25586616800
cmip6_downscaled_pr_HadGEM3_GC31_MM_ssp126_wcs_v2,1306,1,25586616800
cmip6_downscaled_pr_HadGEM3_GC31_MM_ssp585_wcs_v2,1307,1,25586616800
cmip6_downscaled_pr_KACE_1_0_G_ssp126_wcs_v2,1309,1,25586616800
cmip6_downscaled_pr_KACE_1_0_G_ssp245_wcs_v2,1311,1,25586616800
cmip6_downscaled_pr_KACE_1_0_G_ssp370_wcs_v2,1312,1,25586616800
cmip6_downscaled_pr_KACE_1_0_G_ssp585_wcs_v2,1313,1,25586616800
cmip6_downscaled_pr_MIROC6_ssp126_wcs_v2,1316,1,25586616800
cmip6_downscaled_pr_MIROC6_ssp245_wcs_v2,1416,1,25586616800
cmip6_downscaled_pr_MIROC6_ssp370_wcs_v2,1318,1,25586616800
cmip6_downscaled_pr_MIROC6_ssp585_wcs_v2,1319,1,25586616800
cmip6_downscaled_pr_MPI_ESM1_2_HR_ssp126_wcs_v2,1321,1,25586616800
cmip6_downscaled_pr_MPI_ESM1_2_HR_ssp245_wcs_v2,1322,1,25586616800
cmip6_downscaled_pr_MPI_ESM1_2_HR_ssp370_wcs_v2,1323,1,25586616800
cmip6_downscaled_pr_MPI_ESM1_2_HR_ssp585_wcs_v2,1324,1,25586616800
cmip6_downscaled_pr_MRI_ESM2_0_ssp126_wcs_v2,1419,1,25586616800
cmip6_downscaled_pr_MRI_ESM2_0_ssp245_wcs_v2,1420,1,25586616800
cmip6_downscaled_pr_MRI_ESM2_0_ssp370_wcs_v2,1421,1,25586616800
cmip6_downscaled_pr_MRI_ESM2_0_ssp585_wcs_v2,1422,1,25586616800
cmip6_downscaled_pr_NorESM2_MM_ssp126_wcs_v2,1424,1,25586616800
cmip6_downscaled_pr_NorESM2_MM_ssp245_wcs_v2,1425,1,25586616800
cmip6_downscaled_pr_NorESM2_MM_ssp370_wcs_v2,1426,1,25586616800
cmip6_downscaled_pr_NorESM2_MM_ssp585_wcs_v2,1427,1,25586616800
cmip6_downscaled_pr_TaiESM1_ssp126_wcs_v2,1429,1,25586616800
cmip6_downscaled_pr_TaiESM1_ssp245_wcs_v2,1430,1,25586616800
cmip6_downscaled_pr_TaiESM1_ssp370_wcs_v2,1431,1,25586616800
cmip6_downscaled_pr_TaiESM1_ssp585_wcs_v2,1432,1,25586616800
cmip6_downscaled_tasmax_7ModelAvg_ssp126_wcs_v2,1443,1,25586616800
cmip6_downscaled_tasmax_7ModelAvg_ssp245_wcs_v2,1444,1,25586616800
cmip6_downscaled_tasmax_7ModelAvg_ssp370_wcs_v2,1445,1,25586616800
cmip6_downscaled_tasmax_7ModelAvg_ssp585_wcs_v2,1446,1,25586616800
cmip6_downscaled_tasmax_CNRM_CM6_1_HR_ssp126_wcs_v2,1448,1,25586616800
cmip6_downscaled_tasmax_CNRM_CM6_1_HR_ssp585_wcs_v2,1449,1,25586616800
cmip6_downscaled_tasmax_E3SM_2_0_ssp370_wcs_v2,1451,1,25586616800
cmip6_downscaled_tasmax_EC_Earth3_Veg_ssp370_wcs_v2,1453,1,25586616800
cmip6_downscaled_tasmax_EC_Earth3_Veg_ssp585_wcs_v2,1454,1,25586616800
cmip6_downscaled_tasmax_GFDL_ESM4_ssp126_wcs_v2,1456,1,25586616800
cmip6_downscaled_tasmax_GFDL_ESM4_ssp245_wcs_v2,1457,1,25586616800
cmip6_downscaled_tasmax_GFDL_ESM4_ssp370_wcs_v2,1458,1,25586616800
cmip6_downscaled_tasmax_GFDL_ESM4_ssp585_wcs_v2,1459,1,25586616800
cmip6_downscaled_tasmax_HadGEM3_GC31_LL_ssp126_wcs_v2,1461,1,25586616800
cmip6_downscaled_tasmax_HadGEM3_GC31_LL_ssp245_wcs_v2,1462,1,25586616800
cmip6_downscaled_tasmax_HadGEM3_GC31_LL_ssp585_wcs_v2,1325,1,25586616800
cmip6_downscaled_tasmax_HadGEM3_GC31_MM_ssp126_wcs_v2,1327,1,25586616800
cmip6_downscaled_tasmax_HadGEM3_GC31_MM_ssp585_wcs_v2,1328,1,25586616800
cmip6_downscaled_tasmax_KACE_1_0_G_ssp126_wcs_v2,1332,1,25586616800
cmip6_downscaled_tasmax_KACE_1_0_G_ssp245_wcs_v2,1333,1,25586616800
cmip6_downscaled_tasmax_KACE_1_0_G_ssp370_wcs_v2,1334,1,25586616800
cmip6_downscaled_tasmax_KACE_1_0_G_ssp585_wcs_v2,1335,1,25586616800
cmip6_downscaled_tasmax_MIROC6_ssp126_wcs_v2,1337,1,25586616800
cmip6_downscaled_tasmax_MIROC6_ssp245_wcs_v2,1338,1,25586616800
cmip6_downscaled_tasmax_MIROC6_ssp370_wcs_v2,1339,1,25586616800
cmip6_downscaled_tasmax_MIROC6_ssp585_wcs_v2,1340,1,25586616800
cmip6_downscaled_tasmax_MPI_ESM1_2_HR_ssp126_wcs_v2,1342,1,25586616800
