MDDCollId,SetTypeId,MDDCollName
21,58,mean_annual_dtr
23,60,mean_annual_snowfall_mm
24,61,annual_mean_temp
25,62,beetle_risk
29,66,design_freezing_index
30,67,design_thawing_index
34,71,jan_min_max_mean_temp
36,73,july_min_max_mean_temp
93,122,conus_hydro_hrus
95,124,hydro_dh3_test
145,118,ardac_chukchi_landfast_sea_ice_mmm
147,136,ardac_chukchi_daily_slie
149,59,alfresco_vegetation_mode_statistic
157,141,iem_cru_2km_taspr_seasonal
169,149,hydrology
171,81,air_freezing_index_Fdays
181,59,annual_precip_totals_mm
182,136,ardac_beaufort_daily_slie
186,81,degree_days_below_zero_Fdays
187,152,dot_precip
188,81,heating_degree_days_Fdays
189,153,iem_ar5_2km_taspr_seasonal
190,59,iem_cru_2km_taspr_seasonal_baseline_stats
191,154,ncar12km_indicators_era_summaries
197,59,alfresco_relative_flammability_30yr
198,63,alfresco_vegetation_type_percentage
199,81,air_freezing_index_Fdays_2024_12_02_09_49_46_1264
200,81,air_thawing_index_Fdays
201,157,tas_2km_historical
203,66,wet_days_per_year
207,162,tas_2km_projected
211,166,hsia_arctic_production
212,167,berkeley_earth_25
220,118,ardac_beaufort_landfast_sea_ice_mmm
260,59,alfresco_relative_flammability_30yr_crstephenson
261,59,alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_33_29_8492
262,59,alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_34_21_289
263,59,alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_35_17_8511
264,59,alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_37_05_979
265,59,alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_37_14_1075
266,59,alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_41_18_73
267,59,alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_42_31_7412
268,59,alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_48_19_6962
269,59,alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_49_10_6493
270,59,alfresco_relative_flammability_30yr_crstephenson_2025_01_29_23_38_57_8342
271,59,alfresco_relative_flammability_30yr_crstephenson2
289,63,crrel_gipl_outputs_test
295,59,alfresco_relative_flammability_30yr_crstephenson_2025_02_04_10_29_09_5367
296,59,temperature_anomaly_anomalies
297,59,temperature_anomaly_anomalies_2025_04_15_18_57_28_4022
298,59,temperature_anomaly_anomalies_2025_04_15_19_00_35_7060
299,59,temperature_anomaly_anomalies_2025_04_15_19_09_25_4754
301,167,temperature_anomaly_baselines
302,59,temperature_anomaly_anomalies_2025_04_15_19_25_00_1352
303,59,alfresco_relative_flammability_30yr_crstephenson_2025_04_15_19_37_51_4479
305,199,test_nan_2025_05_05_11_32_22_1159
306,199,test_nan_2025_05_05_11_35_48_5812
307,199,test_nan_2025_05_05_11_38_33_2870
308,199,test_nan_2025_05_05_11_48_25_1399
309,199,test_nan_2025_05_05_12_19_33_3511
312,199,test_nan
313,200,test_nan_nilValue
362,167,temperature_anomaly_baselines_2025_05_19_13_54_21_674
363,59,temperature_anomaly_anomalies_2025_05_19_13_54_47_4707
369,63,crrel_gipl_outputs
408,282,era5_4km_daily_rh2_max
469,340,era5_4km_daily_t2_mean
470,341,era5_4km_daily_t2_max
471,342,era5_4km_daily_t2_min
472,343,era5_4km_daily_rh2_mean
473,282,era5_4km_daily_rh2_max_2025_08_12_08_45_23_3669
474,344,era5_4km_daily_rh2_min
475,345,era5_4km_daily_wspd10_mean
476,346,era5_4km_daily_wspd10_max
477,347,era5_4km_daily_wdir10_mean
478,348,era5_4km_daily_rainnc_sum
479,349,era5_4km_daily_seaice_max
484,350,big_tile_era5_4km_daily_t2_mean
485,351,bigger_tile_era5_4km_daily_t2_mean
486,136,big_tile_ardac_chukchi_daily_slie
495,136,wms_optimized_tiled_ardac_chukchi_daily_slie
499,58,cmip6_downscaled_crstephenson
500,58,cmip6_downscaled_crstephenson_2025_08_21_18_48_55_3076
512,136,ardac_chukchi_daily_slie_wcs
513,353,era5_4km_daily_t2_mean_wcs
514,354,era5_4km_daily_t2_max_wcs
515,355,era5_4km_daily_t2_min_wcs
516,356,era5_4km_daily_rh2_mean_wcs
517,357,era5_4km_daily_rh2_max_wcs
518,358,era5_4km_daily_rh2_min_wcs
519,359,era5_4km_daily_wspd10_mean_wcs
520,360,era5_4km_daily_wspd10_max_wcs
521,361,era5_4km_daily_wdir10_mean_wcs
522,362,era5_4km_daily_rainnc_sum_wcs
523,363,era5_4km_daily_seaice_max_wcs
526,136,ardac_beaufort_daily_slie_wcs
534,59,cmip6_downscaled_tasmax_complete_crstephenson
539,366,cmip6_daily_pr_full
565,381,cmip6_fwi
566,381,cmip6_fwi_2025_09_18_10_13_04_2755
567,381,cmip6_fwi_2025_09_18_10_26_47_1079
568,381,cmip6_fwi_2025_09_18_10_56_56_4428
587,58,cmip6_downscaled_pr_wms_crstephenson
590,59,cmip6_downscaled_tasmax_complete_crstephenson_2025_09_22_12_03_04_2874
830,401,test_evspsbl_1
831,402,test_evspsbl_2
832,403,test_evspsbl_3
833,404,test_evspsbl_4
834,405,test_evspsbl_5
835,406,test_evspsbl_6
836,407,test_evspsbl_7
837,408,test_evspsbl_8
838,409,test_evspsbl_9
839,410,test_evspsbl_10
840,411,test_evspsbl_11
841,412,test_evspsbl_12
842,413,cmip6_isi_no_description
981,414,cmip6_isi_test_description
982,415,cmip6_isi_new_description
983,416,cmip6_isi_scratch_description
1021,58,cmip6_downscaled_pr_wms
1087,59,cmip6_downscaled_tasmax_wms_test
1088,59,cmip6_downscaled_tasmin_wms_test
1089,59,cmip6_downscaled_pr_wms_test
1098,59,cmip6_downscaled_pr_wms_2025_11_03_11_57_04_8211
1099,59,cmip6_downscaled_tasmax_wms
1100,59,cmip6_downscaled_tasmin_wms
1101,59,cmip6_downscaled_pr_wms_2025_11_03_12_13_02_4211
1102,59,cmip6_downscaled_pr_wms_2025_11_03_12_13_23_37
1105,59,cmip6_downscaled_tasmax_wms_2025_11_03_12_15_52_6542
1106,59,cmip6_downscaled_tasmax_wms_2025_11_03_12_22_58_1935
1107,59,cmip6_downscaled_tasmax_wms_2025_11_03_12_29_56_1055
1108,59,cmip6_downscaled_tasmax_wms_2025_11_03_12_57_29_3977
1109,59,cmip6_downscaled_tasmax_wms_2025_11_03_13_00_46_4264
1110,59,cmip6_downscaled_tasmax_wms_2025_11_03_13_02_14_8024
1111,430,conus_hydro_segments_crstephenson3
1113,59,cmip6_downscaled_tasmax_wms_2025_11_03_13_42_40_4070
1116,59,cmip6_downscaled_tasmax_wms_2025_11_03_14_12_25_6557
1117,59,cmip6_downscaled_tasmin_wms_2025_11_03_14_13_38_1493
1118,59,cmip6_downscaled_pr_wms_2025_11_03_14_15_09_5165
1139,444,conus_hydro_segments_jp
1143,448,cmip6_monthly_cf_wms
1146,451,cmip6_indicators_cf_wms
1147,452,conus_hydro_segments_doy_mmm
1148,452,conus_hydro_segments_doy_mmm_2025_12_03_09_17_13_3208
1149,453,conus_hydro_segments_doy_mmm_maurer
1150,454,conus_hydro_segments_maurer
1153,457,conus_hydro_segments_doy_mmm_maurer_historical
1155,459,conus_hydro_segments_doy_mmm_maurer_projected
1156,460,conus_hydro_segments_doy_mmm_maurer_historical_test
1157,461,conus_hydro_segments_doy_mmm_maurer_projected_test
1158,462,conus_hydro_segments_doy_mmm_maurer_historical_test_2
1159,463,conus_hydro_segmentsi_all_stats
1160,464,conus_hydro_segments_all_stats
1162,466,conus_hydro_segments_jp_test
1176,466,conus_hydro_segments_jp_test_2025_12_18_12_59_44_6890
1188,490,conus_hydro_segments_doy_climatology_static_projected_test2
