coverage_id,collection_checked,pointer_source,verdict,detail,coverage_extents,collection_extents,cell_type,shadow_collection,shadow_kind,shadow_extents,shadow_bytes,shadow_tiles,follow_up
air_freezing_index_Fdays,air_freezing_index_Fdays_2024_12_02_09_49_46_1264,petascopedb,matched,,"10,3,150,224,317","10,3,150,224,317",long,air_freezing_index_Fdays,SHADOW duplicate (same shape as the live array),"10,3,150,224,317",1278144000,333,
air_thawing_index_Fdays,air_thawing_index_Fdays,petascopedb,matched,,"10,3,150,224,317","10,3,150,224,317",long,,,,,,
ak_hydro_segments_doy_climatology,ak_hydro_segments_doy_climatology_2026_07_08_16_07_13_5583,petascopedb,matched,,"7,34346,366,2","7,34346,366,2","doy_min float, doy_mean float, doy_max float",ak_hydro_segments_doy_climatology,SHADOW duplicate (same shape as the live array),"7,34346,366,2",2111866848,34346,
ak_hydro_segments_doy_climatology_no_spinup,ak_hydro_segments_doy_climatology_no_spinup,petascopedb,matched,,"7,34346,366,2","7,34346,366,2","doy_min float, doy_mean float, doy_max float",,,,,,
ak_hydro_segments_doy_wt_climatology,ak_hydro_segments_doy_wt_climatology,petascopedb,matched,,"7,34208,366,2","7,34208,366,2","doy_min float, doy_mean float, doy_max float",,,,,,
ak_hydro_segments_mhit_stats_combined,ak_hydro_segments_mhit_stats_combined,petascopedb,matched,,"7,3,7,34346","7,3,7,34346","ma3 float, ma4 float, ma12 float, ma13 float, ma14 float, ma15 float, ma16 float, ma17 float, ma18 float, ma19 float, ma20 float, ma21 float, ma22 float, ma23 float, ma99 float, mh14 float, mh20 float, ml17 float, spr_mag float, sum_cv float, sum_mag float, dh1 float, dh2 float, dh3 float, dh4 float, dh5 float, dh15 float, dl1 float, dl2 float, dl3 float, dl4 float, dl5 float, dl16 float, lf1 float, spr_dur3 float, spr_dur7 float, sum_dur3 float, sum_dur7 float, fh1 float, fh5 float, fh6 float, fh7 float, fl1 float, fl3 float, spr_freq float, sum_freq float, ra1 float, ra3 float, ra8 float, th1 float, tl1 float, spr_ord float, sum_ord float",,,,,,
ak_hydro_segments_mhit_stats_combined_blaskey,ak_hydro_segments_mhit_stats_combined_blaskey,petascopedb,matched,,"7,3,7,34346","7,3,7,34346","ma3 float, ma4 float, ma12 float, ma13 float, ma14 float, ma15 float, ma16 float, ma17 float, ma18 float, ma19 float, ma20 float, ma21 float, ma22 float, ma23 float, ma99 float, mh14 float, mh20 float, ml17 float, spr_mag float, sum_cv float, sum_mag float, dh1 float, dh2 float, dh3 float, dh4 float, dh5 float, dh15 float, dl1 float, dl2 float, dl3 float, dl4 float, dl5 float, dl16 float, lf1 float, spr_dur3 float, spr_dur7 float, sum_dur3 float, sum_dur7 float, fh1 float, fh5 float, fh6 float, fh7 float, fl1 float, fl3 float, spr_freq float, sum_freq float, ra1 float, ra3 float, ra8 float, th1 float, tl1 float, spr_ord float, sum_ord float",,,,,,
ak_hydro_segments_stats,ak_hydro_segments_stats,petascopedb,matched,,"7,34346,2","7,34346,2","ma12 float, ma13 float, ma14 float, ma15 float, ma16 float, ma17 float, ma18 float, ma19 float, ma20 float, ma21 float, ma22 float, ma23 float",,,,,,
ak_hydro_segments_stats_combined,ak_hydro_segments_stats_combined,petascopedb,matched,,"7,3,7,34346","7,3,7,34346","ma12 float, ma13 float, ma14 float, ma15 float, ma16 float, ma17 float, ma18 float, ma19 float, ma20 float, ma21 float, ma22 float, ma23 float, ma99 float",,,,,,
ak_hydro_segments_wt_stats,ak_hydro_segments_wt_stats,petascopedb,matched,,"7,3,7,34208","7,3,7,34208","wt_days_gt13_mean float, wt_days_gt18_mean float, wt_days_gt20_mean float, wt_mean_jan float, wt_mean_feb float, wt_mean_mar float, wt_mean_apr float, wt_mean_may float, wt_mean_jun float, wt_mean_jul float, wt_mean_aug float, wt_mean_sep float, wt_mean_oct float, wt_mean_nov float, wt_mean_dec float, wt_min_jan float, wt_min_feb float, wt_min_mar float, wt_min_apr float, wt_min_may float, wt_min_jun float, wt_min_jul float, wt_min_aug float, wt_min_sep float, wt_min_oct float, wt_min_nov float, wt_min_dec float, wt_max_jan float, wt_max_feb float, wt_max_mar float, wt_max_apr float, wt_max_may float, wt_max_jun float, wt_max_jul float, wt_max_aug float, wt_max_sep float, wt_max_oct float, wt_max_nov float, wt_max_dec float, wt_ann_max_temp_mean float, wt_ann_max_temp_doy_mean float, wt_7d_max_temp_mean float, wt_7d_max_temp_doy_mean float, wt_cdd_may_sept_mean float",,,,,,
