coverage_id,tile_no,total_size_bytes,real_data_bytes,gap_bytes,storage_overhead_factor,has_gap,catalogue_disagreement_flag
conus_hydro_segments_stats_combined,1806720,254184726720,20108793600,234075933120,12.640476,True,False
tas_2km_projected_wcs,4265164,2321916734808,313262259840,2008654474968,7.412054,True,True
tas_2km_historical_wcs,276311,238460309112,63202034880,175258274232,3.772985,True,True
cmip6_monthly_cf_wcs,521856,417618188424,113096632320,304521556104,3.692578,True,True
cmip6_bui,266724,175877480096,52018435200,123859044896,3.381061,True,False
cmip6_dc,266724,175877480096,52018435200,123859044896,3.381061,True,False
cmip6_dmc,266724,175877480096,52018435200,123859044896,3.381061,True,False
cmip6_ffmc,266724,175877480096,52018435200,123859044896,3.381061,True,False
cmip6_fwi,266724,175877480096,52018435200,123859044896,3.381061,True,False
cmip6_isi,266724,175877480096,52018435200,123859044896,3.381061,True,False
ardac_beaufort_daily_slie_wcs,1663449,955960052256,491753671200,464206381056,1.943982,True,True
ardac_chukchi_daily_slie_wcs,2044043,1160230866688,599728389120,560502477568,1.934594,True,True
iem_ar5_2km_taspr_seasonal,43436,8289576312,5077961280,3211615032,1.632462,True,False
iem_cru_2km_taspr_seasonal,8276,1896972528,1221295360,675677168,1.553246,True,False
era5_4km_daily_rainnc_sum_wcs,7642,25137368160,19011233280,6126134880,1.322238,True,True
era5_4km_daily_rh2_max_wcs,7642,25137368160,19011233280,6126134880,1.322238,True,True
era5_4km_daily_rh2_mean_wcs,7642,25137368160,19011233280,6126134880,1.322238,True,True
era5_4km_daily_rh2_min_wcs,7642,25137368160,19011233280,6126134880,1.322238,True,True
era5_4km_daily_seaice_max_wcs,7642,25137368160,19011233280,6126134880,1.322238,True,True
era5_4km_daily_t2_max_wcs,7642,25137368160,19011233280,6126134880,1.322238,True,True
era5_4km_daily_t2_mean_wcs,7642,25137368160,19011233280,6126134880,1.322238,True,True
era5_4km_daily_t2_min_wcs,7642,25137368160,19011233280,6126134880,1.322238,True,True
era5_4km_daily_wdir10_mean_wcs,7642,25137368160,19011233280,6126134880,1.322238,True,True
era5_4km_daily_wspd10_max_wcs,7642,25137368160,19011233280,6126134880,1.322238,True,True
era5_4km_daily_wspd10_mean_wcs,7642,25137368160,19011233280,6126134880,1.322238,True,True
dot_precip,97202,334835713200,305171938800,29663774400,1.097203,True,True
cmip6_indicators_cf_wms,1616,6586900992,6283146240,303754752,1.048344,True,True
cp_test_gipl,29109,118874274960,115109064000,3765210960,1.03271,True,True
crrel_gipl_outputs_nc,29109,118874274960,115109064000,3765210960,1.03271,True,True
temperature_anomaly_anomalies,4227,15317556480,14847955200,469601280,1.031627,True,True
cmip6_monthly_cf_wms,32612,116302998528,113096632320,3206366208,1.028351,True,True
iem_cru_2km_taspr_seasonal_baseline_stats,2735,513784704,501527040,12257664,1.024441,True,False
cmip6_downscaled_pr_7ModelAvg_ssp126_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_7ModelAvg_ssp245_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_7ModelAvg_ssp370_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_7ModelAvg_ssp585_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_CESM2_ssp126_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_CESM2_ssp245_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_CESM2_ssp370_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_CESM2_ssp585_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_CNRM_CM6_1_HR_ssp126_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_CNRM_CM6_1_HR_ssp585_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_E3SM_2_0_ssp370_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_EC_Earth3_Veg_ssp126_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_EC_Earth3_Veg_ssp370_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_EC_Earth3_Veg_ssp585_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_GFDL_ESM4_ssp126_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_GFDL_ESM4_ssp245_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_GFDL_ESM4_ssp370_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_GFDL_ESM4_ssp585_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_HadGEM3_GC31_LL_ssp126_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_HadGEM3_GC31_LL_ssp245_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_HadGEM3_GC31_LL_ssp585_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_HadGEM3_GC31_MM_ssp126_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_HadGEM3_GC31_MM_ssp585_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_KACE_1_0_G_ssp126_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_KACE_1_0_G_ssp245_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_KACE_1_0_G_ssp370_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_KACE_1_0_G_ssp585_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_MIROC6_ssp126_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_MIROC6_ssp245_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_MIROC6_ssp370_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_MIROC6_ssp585_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_MPI_ESM1_2_HR_ssp126_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_MPI_ESM1_2_HR_ssp245_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_MPI_ESM1_2_HR_ssp370_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_MPI_ESM1_2_HR_ssp585_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_MRI_ESM2_0_ssp126_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_MRI_ESM2_0_ssp245_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_MRI_ESM2_0_ssp370_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_MRI_ESM2_0_ssp585_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_NorESM2_MM_ssp126_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_NorESM2_MM_ssp245_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_NorESM2_MM_ssp370_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_NorESM2_MM_ssp585_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_TaiESM1_ssp126_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_TaiESM1_ssp245_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_TaiESM1_ssp370_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_pr_TaiESM1_ssp585_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_tasmax_7ModelAvg_ssp126_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
cmip6_downscaled_tasmax_7ModelAvg_ssp245_v2_wcs,1956,25811787744,25586616800,225170944,1.0088,True,False
