collection,category,why,mdd_coll_id,set_type_id
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_33_29_8492,abandoned ingest,timestamped copy of a coverage that no longer exists,261,59
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_34_21_289,abandoned ingest,timestamped copy of a coverage that no longer exists,262,59
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_35_17_8511,abandoned ingest,timestamped copy of a coverage that no longer exists,263,59
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_37_05_979,abandoned ingest,timestamped copy of a coverage that no longer exists,264,59
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_37_14_1075,abandoned ingest,timestamped copy of a coverage that no longer exists,265,59
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_41_18_73,abandoned ingest,timestamped copy of a coverage that no longer exists,266,59
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_42_31_7412,abandoned ingest,timestamped copy of a coverage that no longer exists,267,59
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_48_19_6962,abandoned ingest,timestamped copy of a coverage that no longer exists,268,59
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_49_10_6493,abandoned ingest,timestamped copy of a coverage that no longer exists,269,59
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_23_38_57_8342,abandoned ingest,timestamped copy of a coverage that no longer exists,270,59
alfresco_relative_flammability_30yr_crstephenson_2025_02_04_10_29_09_5367,abandoned ingest,timestamped copy of a coverage that no longer exists,295,59
alfresco_relative_flammability_30yr_crstephenson_2025_04_15_19_37_51_4479,abandoned ingest,timestamped copy of a coverage that no longer exists,303,59
cmip6_downscaled_crstephenson_2025_08_21_18_48_55_3076,abandoned ingest,timestamped copy of a coverage that no longer exists,500,58
cmip6_downscaled_tasmax_complete_crstephenson_2025_09_22_12_03_04_2874,abandoned ingest,timestamped copy of a coverage that no longer exists,590,59
conus_hydro_segments_doy_mmm_2025_12_03_09_17_13_3208,abandoned ingest,timestamped copy of a coverage that no longer exists,1148,452
conus_hydro_segments_test_exsitu_reg2_2025_12_19_07_48_30_7967,abandoned ingest,timestamped copy of a coverage that no longer exists,1190,491
conus_hydro_segments_test_exsitu_reg2_2025_12_19_10_13_39_2851,abandoned ingest,timestamped copy of a coverage that no longer exists,1191,491
conus_hydro_segments_test_exsitu_reg2_2025_12_19_10_55_45_9967,abandoned ingest,timestamped copy of a coverage that no longer exists,1192,491
test_nan_2025_05_05_11_32_22_1159,abandoned ingest,timestamped copy of a coverage that no longer exists,305,199
test_nan_2025_05_05_11_35_48_5812,abandoned ingest,timestamped copy of a coverage that no longer exists,306,199
test_nan_2025_05_05_11_38_33_2870,abandoned ingest,timestamped copy of a coverage that no longer exists,307,199
test_nan_2025_05_05_11_48_25_1399,abandoned ingest,timestamped copy of a coverage that no longer exists,308,199
test_nan_2025_05_05_12_19_33_3511,abandoned ingest,timestamped copy of a coverage that no longer exists,309,199
alfresco_relative_flammability_30yr_crstephenson,personal,named after a user; likely a personal experiment,260,59
alfresco_relative_flammability_30yr_crstephenson2,personal,named after a user; likely a personal experiment,271,59
cmip6_downscaled_crstephenson,personal,named after a user; likely a personal experiment,499,58
