collection,category,why,gb,bytes,tiles,sdom,base_type,mdd_coll_id,set_type_id,error,review_statement
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_33_29_8492,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",261,59,,drop collection alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_33_29_8492
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_34_21_289,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",262,59,,drop collection alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_34_21_289
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_35_17_8511,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",263,59,,drop collection alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_35_17_8511
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_37_05_979,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",264,59,,drop collection alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_37_05_979
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_37_14_1075,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",265,59,,drop collection alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_37_14_1075
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_41_18_73,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",266,59,,drop collection alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_41_18_73
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_42_31_7412,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",267,59,,drop collection alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_42_31_7412
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_48_19_6962,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",268,59,,drop collection alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_48_19_6962
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_49_10_6493,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",269,59,,drop collection alfresco_relative_flammability_30yr_crstephenson_2025_01_29_22_49_10_6493
alfresco_relative_flammability_30yr_crstephenson_2025_01_29_23_38_57_8342,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",270,59,,drop collection alfresco_relative_flammability_30yr_crstephenson_2025_01_29_23_38_57_8342
alfresco_relative_flammability_30yr_crstephenson_2025_02_04_10_29_09_5367,abandoned ingest,timestamped copy of a coverage that no longer exists,1.717,1716960000,14333,"[0:4,0:6,0:3,0:3649,0:2099]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",295,59,,drop collection alfresco_relative_flammability_30yr_crstephenson_2025_02_04_10_29_09_5367
alfresco_relative_flammability_30yr_crstephenson_2025_04_15_19_37_51_4479,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",303,59,,drop collection alfresco_relative_flammability_30yr_crstephenson_2025_04_15_19_37_51_4479
cmip6_downscaled_crstephenson_2025_08_21_18_48_55_3076,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,4,1,"[0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",500,58,,drop collection cmip6_downscaled_crstephenson_2025_08_21_18_48_55_3076
cmip6_downscaled_tasmax_complete_crstephenson_2025_09_22_12_03_04_2874,abandoned ingest,timestamped copy of a coverage that no longer exists,1268.025,1268025125604,163341150,"[0:49639,0:12,0:4,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",590,59,,drop collection cmip6_downscaled_tasmax_complete_crstephenson_2025_09_22_12_03_04_2874
conus_hydro_segments_doy_mmm_2025_12_03_09_17_13_3208,abandoned ingest,timestamped copy of a coverage that no longer exists,128.946,128945606412,1806720,"[0:3,0:365,0:1,0:12,0:4,0:56459]","marray <struct { float doy_min, float doy_mean, float doy_max },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*),D5(*:*)]>",1148,452,,drop collection conus_hydro_segments_doy_mmm_2025_12_03_09_17_13_3208
conus_hydro_segments_test_exsitu_reg2_2025_12_19_07_48_30_7967,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,208,1,"[0:1,0:13,0:4,0:3,0:0]","marray <struct { float dh1, float dh2, float dh3, float dh4, float dh5, float dh15, float dl1, float dl2, float dl3, float dl4, float dl5, float dl16, float lf1, float spr_dur3, float spr_dur7, float sum_dur3, float sum_dur7, float fh1, float fh5, float fh6, float fh7, float fl1, float fl3, float spr_freq, float sum_freq, float ma3, float ma4, float ma12, float ma13, float ma14, float ma15, float ma16, float ma17, float ma18, float ma19, float ma20, float ma21, float ma22, float ma23, float mh14, float mh20, float ml17, float spr_mag, float sum_cv, float sum_mag, float ra1, float ra3, float ra9, float spr_ord, float sum_ord, float th1, float tl1 },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",1190,491,,drop collection conus_hydro_segments_test_exsitu_reg2_2025_12_19_07_48_30_7967
conus_hydro_segments_test_exsitu_reg2_2025_12_19_10_13_39_2851,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,208,1,"[0:1,0:13,0:4,0:3,0:0]","marray <struct { float dh1, float dh2, float dh3, float dh4, float dh5, float dh15, float dl1, float dl2, float dl3, float dl4, float dl5, float dl16, float lf1, float spr_dur3, float spr_dur7, float sum_dur3, float sum_dur7, float fh1, float fh5, float fh6, float fh7, float fl1, float fl3, float spr_freq, float sum_freq, float ma3, float ma4, float ma12, float ma13, float ma14, float ma15, float ma16, float ma17, float ma18, float ma19, float ma20, float ma21, float ma22, float ma23, float mh14, float mh20, float ml17, float spr_mag, float sum_cv, float sum_mag, float ra1, float ra3, float ra9, float spr_ord, float sum_ord, float th1, float tl1 },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",1191,491,,drop collection conus_hydro_segments_test_exsitu_reg2_2025_12_19_10_13_39_2851
conus_hydro_segments_test_exsitu_reg2_2025_12_19_10_55_45_9967,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,208,1,"[0:1,0:13,0:4,0:3,0:0]","marray <struct { float dh1, float dh2, float dh3, float dh4, float dh5, float dh15, float dl1, float dl2, float dl3, float dl4, float dl5, float dl16, float lf1, float spr_dur3, float spr_dur7, float sum_dur3, float sum_dur7, float fh1, float fh5, float fh6, float fh7, float fl1, float fl3, float spr_freq, float sum_freq, float ma3, float ma4, float ma12, float ma13, float ma14, float ma15, float ma16, float ma17, float ma18, float ma19, float ma20, float ma21, float ma22, float ma23, float mh14, float mh20, float ml17, float spr_mag, float sum_cv, float sum_mag, float ra1, float ra3, float ra9, float spr_ord, float sum_ord, float th1, float tl1 },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",1192,491,,drop collection conus_hydro_segments_test_exsitu_reg2_2025_12_19_10_55_45_9967
test_nan_2025_05_05_11_32_22_1159,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,16,1,"[0:0,0:0,0:0,0:0,0:0]","marray <struct { double temperature, double precipitation },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",305,199,,drop collection test_nan_2025_05_05_11_32_22_1159
test_nan_2025_05_05_11_35_48_5812,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,16,1,"[0:0,0:0,0:0,0:0,0:0]","marray <struct { double temperature, double precipitation },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",306,199,,drop collection test_nan_2025_05_05_11_35_48_5812
test_nan_2025_05_05_11_38_33_2870,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,16,1,"[0:0,0:0,0:0,0:0,0:0]","marray <struct { double temperature, double precipitation },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",307,199,,drop collection test_nan_2025_05_05_11_38_33_2870
test_nan_2025_05_05_11_48_25_1399,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,16,1,"[0:0,0:0,0:0,0:0,0:0]","marray <struct { double temperature, double precipitation },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",308,199,,drop collection test_nan_2025_05_05_11_48_25_1399
test_nan_2025_05_05_12_19_33_3511,abandoned ingest,timestamped copy of a coverage that no longer exists,0.0,16,1,"[0:0,0:0,0:0,0:0,0:0]","marray <struct { double temperature, double precipitation },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",309,199,,drop collection test_nan_2025_05_05_12_19_33_3511
alfresco_relative_flammability_30yr_crstephenson,personal,named after a user; likely a personal experiment,1.717,1716960000,14333,"[0:4,0:6,0:3,0:3649,0:2099]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",260,59,,drop collection alfresco_relative_flammability_30yr_crstephenson
alfresco_relative_flammability_30yr_crstephenson2,personal,named after a user; likely a personal experiment,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",271,59,,drop collection alfresco_relative_flammability_30yr_crstephenson2
cmip6_downscaled_crstephenson,personal,named after a user; likely a personal experiment,0.0,4,1,"[0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",499,58,,drop collection cmip6_downscaled_crstephenson
cmip6_downscaled_pr_wms_crstephenson,personal,named after a user; likely a personal experiment,,,,,,587,58,unparseable dbinfo response,drop collection cmip6_downscaled_pr_wms_crstephenson
cmip6_downscaled_tasmax_complete_crstephenson,personal,named after a user; likely a personal experiment,229.685,229684513600,23089,"[0:49639,0:11,0:2,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",534,59,,drop collection cmip6_downscaled_tasmax_complete_crstephenson
conus_hydro_segments_crstephenson3,personal,named after a user; likely a personal experiment,5.402,5402092984,3324,"[0:1,0:12,0:4,0:3,0:56459]","marray <struct { double dh3, double dh15, double dl3, double dl16, double fh1, double fl1, double fl3, double ma12, double ma13, double ma14, double ma15, double ma16, double ma17, double ma18, double ma19, double ma20, double ma21, double ma22, double ma23, double ra1, double ra3, double th1, double tl1 },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",1111,430,,drop collection conus_hydro_segments_crstephenson3
conus_hydro_segments_doy_mmm_maurer,personal,named after a user; likely a personal experiment,138.864,138864499212,451680,"[0:3,0:365,0:1,0:13,0:4,0:56459]","marray <struct { float doy_min, float doy_mean, float doy_max },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*),D5(*:*)]>",1149,453,,drop collection conus_hydro_segments_doy_mmm_maurer
conus_hydro_segments_doy_mmm_maurer_historical,personal,named after a user; likely a personal experiment,34.716,34716124812,10980,"[0:0,0:365,0:1,0:13,0:4,0:56459]","marray <struct { float doy_min, float doy_mean, float doy_max },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*),D5(*:*)]>",1153,457,,drop collection conus_hydro_segments_doy_mmm_maurer_historical
conus_hydro_segments_doy_mmm_maurer_projected,personal,named after a user; likely a personal experiment,77.367,77367363852,28548,"[0:2,0:365,0:1,0:12,0:3,0:56459]","marray <struct { float doy_min, float doy_mean, float doy_max },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*),D5(*:*)]>",1155,459,,drop collection conus_hydro_segments_doy_mmm_maurer_projected
conus_hydro_segments_jp,personal,named after a user; likely a personal experiment,2.701,2701046492,56460,"[0:1,0:12,0:4,0:3,0:56459]","marray <struct { float dh3, float dh15, float dl3, float dl16, float fh1, float fl1, float fl3, float ma12, float ma13, float ma14, float ma15, float ma16, float ma17, float ma18, float ma19, float ma20, float ma21, float ma22, float ma23, float ra1, float ra3, float th1, float tl1 },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",1139,444,,drop collection conus_hydro_segments_jp
conus_hydro_segments_maurer,personal,named after a user; likely a personal experiment,5.818,5817638584,56460,"[0:1,0:13,0:4,0:3,0:56459]","marray <struct { double dh3, double dh15, double dl3, double dl16, double fh1, double fl1, double fl3, double ma12, double ma13, double ma14, double ma15, double ma16, double ma17, double ma18, double ma19, double ma20, double ma21, double ma22, double ma23, double ra1, double ra3, double th1, double tl1 },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",1150,454,,drop collection conus_hydro_segments_maurer
air_freezing_index_Fdays,shadow,sits at a live coverage id; petascope serves a different array,1.278,1278144000,333,"[0:9,0:2,0:149,0:223,0:316]","marray <long,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",171,81,,drop collection air_freezing_index_Fdays
ak_hydro_segments_doy_climatology,shadow,sits at a live coverage id; petascope serves a different array,2.112,2111805372,34346,"[0:6,0:34345,0:365,0:1]","marray <struct { float doy_min, float doy_mean, float doy_max },[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",1235,532,,drop collection ak_hydro_segments_doy_climatology
cmip6_bui,shadow,sits at a live coverage id; petascope serves a different array,52.018,52018435200,13088,"[0:4,0:25679,0:177,0:568]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",1259,556,,drop collection cmip6_bui
cmip6_downscaled_pr_wms,shadow,sits at a live coverage id; petascope serves a different array,0.002,1630240,4,"[0:1,0:1,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",1021,58,,drop collection cmip6_downscaled_pr_wms
cmip6_downscaled_tasmax_wms,shadow,sits at a live coverage id; petascope serves a different array,0.003,3260480,6,"[0:1,0:1,0:1,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",1099,59,,drop collection cmip6_downscaled_tasmax_wms
cmip6_downscaled_tasmin_wms,shadow,sits at a live coverage id; petascope serves a different array,0.003,3260480,6,"[0:1,0:1,0:1,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",1100,59,,drop collection cmip6_downscaled_tasmin_wms
cmip6_ffmc,shadow,sits at a live coverage id; petascope serves a different array,52.018,52018435200,13088,"[0:4,0:25679,0:177,0:568]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",1263,559,,drop collection cmip6_ffmc
cmip6_fwi,shadow,sits at a live coverage id; petascope serves a different array,89.462,89462390600,22509,"[0:4,0:44164,0:177,0:568]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",565,381,,drop collection cmip6_fwi
conus_hydro_segments_jp_test,shadow,sits at a live coverage id; petascope serves a different array,2.701,2701046492,56460,"[0:1,0:12,0:4,0:3,0:56459]","marray <struct { float dh3, float dh15, float dl3, float dl16, float fh1, float fl1, float fl3, float ma12, float ma13, float ma14, float ma15, float ma16, float ma17, float ma18, float ma19, float ma20, float ma21, float ma22, float ma23, float ra1, float ra3, float th1, float tl1 },[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",1162,466,,drop collection conus_hydro_segments_jp_test
era5_4km_daily_rh2_max,shadow,sits at a live coverage id; petascope serves a different array,17.823,17823031200,4386,"[0:21914,0:459,0:441]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",408,282,,drop collection era5_4km_daily_rh2_max
temperature_anomaly_anomalies,shadow,sits at a live coverage id; petascope serves a different array,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",296,59,,drop collection temperature_anomaly_anomalies
temperature_anomaly_baselines,shadow,sits at a live coverage id; petascope serves a different array,0.0,4,1,"[0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",301,167,,drop collection temperature_anomaly_baselines
cmip6_downscaled_pr_wms_2025_11_03_11_57_04_8211,superseded ingest,timestamped copy; the live coverage has a newer one,0.003,3260480,6,"[0:1,0:1,0:1,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",1098,59,,drop collection cmip6_downscaled_pr_wms_2025_11_03_11_57_04_8211
cmip6_downscaled_pr_wms_2025_11_03_12_13_02_4211,superseded ingest,timestamped copy; the live coverage has a newer one,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",1101,59,,drop collection cmip6_downscaled_pr_wms_2025_11_03_12_13_02_4211
cmip6_downscaled_pr_wms_2025_11_03_12_13_23_37,superseded ingest,timestamped copy; the live coverage has a newer one,0.0,4,1,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",1102,59,,drop collection cmip6_downscaled_pr_wms_2025_11_03_12_13_23_37
